Note_w_octave,Count,Pitch,Octave,Accidental,Title,Composer,Key_signature,Piano_key_num
E-5,49,E,5,-,Elegy I,None,C minor,55
G5,36,G,5,,Elegy I,None,C minor,59
D5,28,D,5,,Elegy I,None,C minor,54
G4,27,G,4,,Elegy I,None,C minor,47
E-6,23,E,6,-,Elegy I,None,C minor,67
F5,21,F,5,,Elegy I,None,C minor,57
B-5,20,B,5,-,Elegy I,None,C minor,62
D6,18,D,6,,Elegy I,None,C minor,66
C5,16,C,5,,Elegy I,None,C minor,52
A-5,15,A,5,-,Elegy I,None,C minor,60
B-6,12,B,6,-,Elegy I,None,C minor,74
E-4,11,E,4,-,Elegy I,None,C minor,43
F6,11,F,6,,Elegy I,None,C minor,69
A-4,7,A,4,-,Elegy I,None,C minor,48
D4,6,D,4,,Elegy I,None,C minor,42
C6,6,C,6,,Elegy I,None,C minor,64
B-4,4,B,4,-,Elegy I,None,C minor,50
C4,4,C,4,,Elegy I,None,C minor,40
G3,3,G,3,,Elegy I,None,C minor,35
B#5,3,B,5,#,Elegy I,None,C minor,63
A-6,3,A,6,-,Elegy I,None,C minor,72
F#6,3,F,6,#,Elegy I,None,C minor,70
G-5,3,G,5,-,Elegy I,None,C minor,58
G-6,3,G,6,-,Elegy I,None,C minor,70
A-3,2,A,3,-,Elegy I,None,C minor,36
B#4,2,B,4,#,Elegy I,None,C minor,51
F#5,2,F,5,#,Elegy I,None,C minor,58
C-6,2,C,6,-,Elegy I,None,C minor,62
D-5,2,D,5,-,Elegy I,None,C minor,53
B5,1,B,5,,Elegy I,None,C minor,63
G6,1,G,6,,Elegy I,None,C minor,71
F4,1,F,4,,Elegy I,None,C minor,45
F#4,1,F,4,#,Elegy I,None,C minor,46
C##5,1,C,5,##,Elegy I,None,C minor,53
A4,1,A,4,,Elegy I,None,C minor,49
B4,1,B,4,,Elegy I,None,C minor,51
A5,1,A,5,,Elegy I,None,C minor,61
B3,57,B,3,,To Give a Marionette Life,None,E minor,39
G3,33,G,3,,To Give a Marionette Life,None,E minor,35
B2,26,B,2,,To Give a Marionette Life,None,E minor,27
E3,25,E,3,,To Give a Marionette Life,None,E minor,32
F#3,25,F,3,#,To Give a Marionette Life,None,E minor,34
D3,24,D,3,,To Give a Marionette Life,None,E minor,30
G5,21,G,5,,To Give a Marionette Life,None,E minor,59
A3,16,A,3,,To Give a Marionette Life,None,E minor,37
G4,14,G,4,,To Give a Marionette Life,None,E minor,47
A2,13,A,2,,To Give a Marionette Life,None,E minor,25
C3,13,C,3,,To Give a Marionette Life,None,E minor,28
F#5,12,F,5,#,To Give a Marionette Life,None,E minor,58
E4,12,E,4,,To Give a Marionette Life,None,E minor,44
C4,12,C,4,,To Give a Marionette Life,None,E minor,40
F#4,11,F,4,#,To Give a Marionette Life,None,E minor,46
G2,11,G,2,,To Give a Marionette Life,None,E minor,23
E2,9,E,2,,To Give a Marionette Life,None,E minor,20
F#2,8,F,2,#,To Give a Marionette Life,None,E minor,22
E5,7,E,5,,To Give a Marionette Life,None,E minor,56
D4,6,D,4,,To Give a Marionette Life,None,E minor,42
F2,6,F,2,,To Give a Marionette Life,None,E minor,21
A5,4,A,5,,To Give a Marionette Life,None,E minor,61
B4,4,B,4,,To Give a Marionette Life,None,E minor,51
E-3,4,E,3,-,To Give a Marionette Life,None,E minor,31
D5,3,D,5,,To Give a Marionette Life,None,E minor,54
B5,3,B,5,,To Give a Marionette Life,None,E minor,63
F3,3,F,3,,To Give a Marionette Life,None,E minor,33
A4,2,A,4,,To Give a Marionette Life,None,E minor,49
G#2,2,G,2,#,To Give a Marionette Life,None,E minor,24
E-2,2,E,2,-,To Give a Marionette Life,None,E minor,19
C2,2,C,2,,To Give a Marionette Life,None,E minor,16
D6,1,D,6,,To Give a Marionette Life,None,E minor,66
C5,1,C,5,,To Give a Marionette Life,None,E minor,52
C#3,1,C,3,#,To Give a Marionette Life,None,E minor,29
C#4,1,C,4,#,To Give a Marionette Life,None,E minor,41
D#3,1,D,3,#,To Give a Marionette Life,None,E minor,31
